,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2022-04-01,1.4935827498949874,0.06817306300193837,0.09125639289764571,-0.19013201231043597,-0.3692438906248472,-0.07384241453193208,-0.14944568508629608,0.48298276232799753,-0.010371150851713262,-0.013496728365565881,249358274.98949873,3324203.330344211,246034071.65915453
2022-04-04,1.4941675547590956,0.06817721098329632,0.09125579443363396,-0.1920170350479885,-0.3975997868407487,-0.07362520840114084,-0.14944568508629608,0.4829419886035827,-0.010371150851713262,-0.013496728365565881,249416755.47590956,3324361.2307817237,246092394.24512783
2022-04-05,1.489523003952622,0.06801965064966597,0.09114988178895003,-0.1602630820132469,-0.3439310163007172,-0.07535027084821166,-0.14944568508629608,0.482899524731331,-0.010371150851713262,-0.013496728365565881,248952300.39526218,3324421.2552157557,245627879.14004642
2022-04-06,1.4800340171504,0.06771159744653255,0.09110179003705333,-0.2540329229179211,-0.4941558412225565,-0.07887463638436809,-0.14944568508629608,0.48285446544524246,-0.010371150851713262,-0.013496728365565881,248003401.71504003,3324483.1267800927,244678918.58825994
2022-04-07,1.501623784891898,0.06836542315088256,0.09149765337103388,-0.1819078836122399,-0.3833405449363113,-0.07085584207600837,-0.14944568508629608,0.482815291759215,-0.010371150851713262,-0.013496728365565881,250162378.4891898,3324545.9219095833,246837832.56728023
2022-04-08,1.5043618064338555,0.06843573736835573,0.09150495097824356,-0.16944777927697688,-0.36494950054174397,-0.06983889590874526,-0.14944568508629608,0.4827758271751823,-0.010371150851713262,-0.013496728365565881,250436180.64338556,3324609.6424294543,247111571.00095612
2022-04-11,1.5001503519136836,0.06829213942704548,0.09151562229661238,-0.17841393452684656,-0.39420498173675445,-0.07140309928233501,-0.14944568508629608,0.4827350545074429,-0.010371150851713262,-0.013496728365565881,250015035.19136837,3324809.1233763536,246690226.06799203
2022-04-12,1.5224581975649705,0.0689624043917696,0.09188288625120213,-0.12021487121307682,-0.2956989520449517,-0.06311759904527248,-0.14944568508629608,0.4827006026770051,-0.010371150851713262,-0.013496728365565881,252245819.75649706,3324877.465372444,248920942.2911246
2022-04-13,1.5343470299283575,0.06931060422572188,0.0918107715406226,-0.13400919051010599,-0.3186210622070466,-0.05870189145498994,-0.14944568508629608,0.4826694432540887,-0.010371150851713262,-0.013496728365565881,253434702.99283573,3324946.7345841434,250109756.25825158
2022-04-14,1.5339481195699705,0.06928433187329075,0.09179742810355737,-0.1526210421198059,-0.35274794303837137,-0.0588500533134072,-0.14944568508629608,0.48263840897019517,-0.010371150851713262,-0.013496728365565881,253394811.95699704,3325018.7744913013,250069793.18250573
2022-04-18,1.5054068133898966,0.06839805606544824,0.09234547747326148,-0.2192693862643308,-0.46145945693512386,-0.0694507631631025,-0.14944568508629608,0.48259971452381895,-0.010814739121021683,-0.013532212754178733,250540681.33898965,3325310.6466328194,247215370.69235682
2022-04-19,1.4986503493811991,0.06817634537984163,0.09172942538869051,-0.130469839487048,-0.3235387237604331,-0.07196022485747,-0.14944568508629608,0.4825590594447774,-0.010371150851713262,-0.013516332704410345,249865034.93811992,3325386.389926727,246539648.5481932
2022-04-20,1.5019034737505268,0.06826252592218762,0.09088256887828607,-0.25438690800056246,-0.515500419805213,-0.07075196104057824,-0.14944568508629608,0.48251929494394763,-0.010371150851713262,-0.013516332704410345,250190347.37505266,3325462.135045862,246864885.2400068
2022-04-21,1.5087954723833654,0.06846019392674485,0.09082622004748511,-0.1768139638256411,-0.3931973398032042,-0.06819215956091673,-0.14944568508629608,0.48248084835345434,-0.010371150851713262,-0.013516332704410345,250879547.23833656,3325537.8819902246,247554009.35634634
2022-04-22,1.5003589096769891,0.06818722324891913,0.09019547245428594,-0.3384117519599763,-0.6425833156141911,-0.0713256375038952,-0.14944568508629608,0.48243965702692054,-0.010371150851713262,-0.013516332704410345,250035890.96769893,3325613.6307598148,246710277.33693913
2022-04-25,1.4704781112505092,0.06724955794458576,0.09082610148907967,-0.5220862176831595,-0.9394434349421927,-0.08242385677241248,-0.14944568508629608,0.4823902993424269,-0.010814739121021683,-0.013604665712591113,247047811.12505093,3325851.047236633,243721960.0778143
2022-04-26,1.4614763926346344,0.06695560099892583,0.09087839162118003,-0.5773575531565349,-1.0097615020711346,-0.08576724290174498,-0.14944568508629608,0.48233771132126496,-0.010814739121021683,-0.013604665712591113,246147639.26346344,3325928.650437439,242821710.613026
2022-04-27,1.462855797473622,0.06698497283187277,0.09088078575513513,-0.5735284274115386,-0.9999032727093013,-0.0852549092905529,-0.14944568508629608,0.4822859788411843,-0.010814739121021683,-0.013604665712591113,246285579.74736223,3326004.408333167,242959575.33902907
2022-04-28,1.469219855160261,0.06716939579298087,0.09091972029348895,-0.5521272471784612,-0.9648958841983621,-0.08289119374869436,-0.14944568508629608,0.4822355277188247,-0.010814739121021683,-0.013604665712591113,246921985.5160261,3326079.2426637425,243595906.27336237
