,Cumulative Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Drawdown,Max Drawdown,Calmar Ratio,VaR,Expected Shortfall,value,cash,asset value
2022-06-15,0.8843298830384376,0.04631333957981032,0.0516437072184468,-1.5684520357515102,-2.607779370935375,-0.07850315872750768,-0.0857078250457266,0.6464504284191493,-0.005536065255970507,-0.008813314042986704,188432988.30384377,2434275.3295159265,185998712.97432783
2022-06-16,0.8808605427740512,0.04616632265970999,0.051664576356757856,-1.6069255291077655,-2.621005901208689,-0.08019977571782821,-0.0857078250457266,0.6462566944211681,-0.005536065255970507,-0.008813314042986704,188086054.2774051,2434379.4627202614,185651674.81468484
2022-06-17,0.8842359855275992,0.04629107557385792,0.051706255367842936,-1.5586460587560897,-2.5625362911082834,-0.07854907757665397,-0.0857078250457266,0.6460629980945282,-0.005536065255970507,-0.008813314042986704,188423598.55275992,2434486.305100653,185989112.24765927
2022-06-21,0.8851575149965862,0.04631834715629535,0.051710305263620755,-1.5533572384832268,-2.575429383135406,-0.07809842055398775,-0.0857078250457266,0.6458680450929046,-0.005536065255970507,-0.008813314042986704,188515751.4996586,2434919.1316577895,186080832.36800084
2022-06-22,0.885456532094687,0.046320928726300226,0.05170399128976382,-1.5637285838942725,-2.5634890995053032,-0.0779521917466719,-0.0857078250457266,0.6456747005044866,-0.005536065255970507,-0.008813314042986704,188545653.2094687,2435025.3217550237,186110627.88771367
2022-06-23,0.8871578423988637,0.046379032161053324,0.05171557884962686,-1.5313253008487828,-2.5206982492276024,-0.07712019726129271,-0.0857078250457266,0.6454816678034478,-0.005536065255970507,-0.008813314042986704,188715784.23988637,2435132.868441155,186280651.3714452
2022-06-24,0.89619083580513,0.04672643498670692,0.05196211107040261,-1.4386543659976512,-2.4162147940996523,-0.07270277812145098,-0.0857078250457266,0.6452945868015239,-0.005536065255970507,-0.008813314042986704,189619083.580513,2435245.1545179943,187183838.425995
2022-06-27,0.8965280648661049,0.046730372288463995,0.05196304644721891,-1.4375905671697513,-2.437624178448718,-0.07253786245712335,-0.0857078250457266,0.6451086197236635,-0.005536065255970507,-0.008813314042986704,189652806.4866105,2435588.1340724514,187217218.35253805
2022-06-28,0.8930496803192169,0.04658394558698964,0.051980961826702504,-1.4822716338349082,-2.50084950544867,-0.0742389023873079,-0.0857078250457266,0.6449191292035937,-0.005536065255970507,-0.008813314042986704,189304968.03192168,2435706.530801931,186869261.50111976
2022-06-29,0.8854976774492571,0.046276264116827726,0.05211000272668227,-1.5599640826015788,-2.602892146136275,-0.07793207036845107,-0.0857078250457266,0.6447249466128944,-0.005536065255970507,-0.008813314042986704,188549767.7449257,2435823.5802799007,186113944.16464582
2022-06-30,0.8839753285034018,0.04620674831581395,0.05210734772720291,-1.5846763145891034,-2.6182381885363935,-0.0786765470959856,-0.0857078250457266,0.6445301918047627,-0.005536065255970507,-0.008813314042986704,188397532.8503402,188397532.8503402,0.0
2022-07-01,0.8840622004790353,0.046200956103456425,0.05210471552648579,-1.5669791074497865,-2.5899361799305014,-0.07863406395550054,-0.0857078250457266,0.6443343696883405,-0.005536065255970507,-0.008813314042986704,188406220.04790354,188406220.04790354,0.0
2022-07-05,0.8844201979036435,0.04620589755652649,0.05210008015397625,-1.5753138102147421,-2.6544976582635664,-0.07845899190525629,-0.0857078250457266,0.6441376424220748,-0.005536065255970507,-0.008813314042986704,188442019.79036435,188442019.79036435,0.0
2022-07-06,0.8845170357164458,0.046200501302694263,0.05209504999463598,-1.585393226987046,-2.6639752582264955,-0.07841163515556171,-0.0857078250457266,0.6439437770687292,-0.005536065255970507,-0.008813314042986704,188451703.57164457,188451703.57164457,0.0
2022-07-07,0.8846159729576784,0.04619519003782724,0.052091937583745834,-1.5928460035070582,-2.6834460717681443,-0.07836325171904102,-0.0857078250457266,0.6437503917904497,-0.005536065255970507,-0.008813314042986704,188461597.29576784,188461597.29576784,0.0
2022-07-08,0.8847159624922765,0.0461899222849147,0.052090406134553416,-1.5976598078888586,-2.6937231933990415,-0.07831435367782125,-0.0857078250457266,0.6435574222935696,-0.005536065255970507,-0.008813314042986704,188471596.24922764,188471596.24922764,0.0
2022-07-11,0.8850274815632493,0.04619301958643085,0.05209242671343746,-1.5926673393957849,-2.7443779161833373,-0.07816201101081721,-0.0857078250457266,0.6433636650594825,-0.005536065255970507,-0.008813314042986704,188502748.15632492,188502748.15632492,0.0
2022-07-12,0.8851405824668512,0.046188271681154136,0.05209373017075626,-1.5881849784417899,-2.743454300863105,-0.07810670109594908,-0.0857078250457266,0.6431710550397934,-0.005536065255970507,-0.008813314042986704,188514058.24668512,188514058.24668512,0.0
2022-07-13,0.8852625927876154,0.04618387742877639,0.05209438158163112,-1.5775164326732587,-2.771391853510621,-0.07804703419462844,-0.0857078250457266,0.642978247557981,-0.005536065255970507,-0.008813314042986704,188526259.27876154,188526259.27876154,0.0
2022-07-14,0.885384611361661,0.046179484923089875,0.0520877523689951,-1.5897247892077724,-2.786058091939408,-0.07798736325719247,-0.0857078250457266,0.6427849812488675,-0.005536065255970507,-0.008813314042986704,188538461.1361661,188538461.1361661,0.0
