Date,Volume
1950-11-09,1760000.0
1950-11-10,1640000.0
1950-11-13,1630000.0
1950-11-14,1780000.0
1950-11-15,1620000.0
1950-11-16,1760000.0
1950-11-17,2130000.0
1950-11-20,2250000.0
1950-11-21,2010000.0
1950-11-22,2730000.0
1950-11-24,2620000.0
1950-11-27,1740000.0
1950-11-28,2970000.0
1950-11-29,2770000.0
1950-11-30,2080000.0
1950-12-01,1870000.0
1950-12-04,2510000.0
1950-12-05,1940000.0
1950-12-06,2010000.0
1950-12-07,1810000.0
1950-12-08,2310000.0
1950-12-11,2600000.0
1950-12-12,2140000.0
1950-12-13,2030000.0
1950-12-14,2660000.0
1950-12-15,2420000.0
1950-12-18,4500000.0
1950-12-19,3650000.0
1950-12-20,3510000.0
1950-12-21,3990000.0
1950-12-22,2720000.0
1950-12-26,2660000.0
1950-12-27,2940000.0
1950-12-28,3560000.0
1950-12-29,3440000.0
1951-01-02,3030000.0
1951-01-03,3370000.0
1951-01-04,3390000.0
1951-01-05,3390000.0
1951-01-08,2780000.0
1951-01-09,3800000.0
1951-01-10,3270000.0
1951-01-11,3490000.0
1951-01-12,2950000.0
1951-01-15,2830000.0
1951-01-16,3740000.0
1951-01-17,3880000.0
1951-01-18,3490000.0
1951-01-19,3170000.0
1951-01-22,2570000.0
1951-01-23,2080000.0
1951-01-24,1990000.0
1951-01-25,2520000.0
1951-01-26,2230000.0
1951-01-29,2630000.0
1951-01-30,2480000.0
1951-01-31,2340000.0
1951-02-01,2380000.0
1951-02-02,3030000.0
1951-02-05,2680000.0
1951-02-06,2370000.0
1951-02-07,2020000.0
1951-02-08,2120000.0
1951-02-09,2550000.0
1951-02-13,2400000.0
1951-02-14,2050000.0
1951-02-15,1700000.0
1951-02-16,1860000.0
1951-02-19,1910000.0
1951-02-20,2010000.0
1951-02-21,1670000.0
1951-02-23,1540000.0
1951-02-26,1650000.0
1951-02-27,1680000.0
1951-02-28,1640000.0
1951-03-01,1610000.0
1951-03-02,1570000.0
1951-03-05,1690000.0
1951-03-06,1490000.0
1951-03-07,1770000.0
1951-03-08,1440000.0
1951-03-09,1610000.0
1951-03-12,1640000.0
1951-03-13,2330000.0
1951-03-14,2110000.0
1951-03-15,2070000.0
1951-03-16,1660000.0
1951-03-19,1120000.0
1951-03-20,1020000.0
1951-03-21,1310000.0
1951-03-22,1290000.0
1951-03-26,1230000.0
1951-03-27,1250000.0
1951-03-28,1770000.0
1951-03-29,1300000.0
1951-03-30,1150000.0
1951-04-02,1280000.0
1951-04-03,1220000.0
1951-04-04,1300000.0
1951-04-05,1790000.0
1951-04-06,1450000.0
1951-04-09,1110000.0
1951-04-10,1280000.0
1951-04-11,1420000.0
1951-04-12,1530000.0
1951-04-13,2120000.0
1951-04-16,1730000.0
1951-04-17,1470000.0
1951-04-18,1780000.0
1951-04-19,1520000.0
1951-04-20,940000.0
1951-04-23,1160000.0
1951-04-24,1420000.0
1951-04-25,1520000.0
1951-04-26,1800000.0
1951-04-27,2120000.0
1951-04-30,1790000.0
1951-05-01,1760000.0
1951-05-02,1900000.0
1951-05-03,2060000.0
1951-05-04,2050000.0
1951-05-07,1580000.0
1951-05-08,1600000.0
1951-05-09,1960000.0
1951-05-10,1660000.0
1951-05-11,1640000.0
1951-05-14,1250000.0
1951-05-15,2020000.0
1951-05-16,1660000.0
1951-05-17,1370000.0
1951-05-18,1660000.0
1951-05-21,1580000.0
1951-05-22,1440000.0
1951-05-23,1540000.0
1951-05-24,2580000.0
1951-05-25,1210000.0
1951-05-28,1240000.0
1951-05-29,1190000.0
1951-05-31,1220000.0
1951-06-01,9810000.0
1951-06-04,1100000.0
1951-06-05,1180000.0
1951-06-06,1200000.0
1951-06-07,1340000.0
1951-06-08,1000000.0
1951-06-11,1220000.0
1951-06-12,1200000.0
1951-06-13,1060000.0
1951-06-14,1300000.0
1951-06-15,1370000.0
1951-06-18,1050000.0
1951-06-19,1100000.0
1951-06-20,1120000.0
1951-06-21,1100000.0
1951-06-22,1340000.0
1951-06-25,2440000.0
1951-06-26,1260000.0
1951-06-27,1360000.0
1951-06-28,1940000.0
1951-06-29,1730000.0
